epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2962.17,1.265,0.78123,1.24311,0.97895,0.90517,0.95936,0.64846,1.11992,0.60655,1.29575,0.00104322,0.00104322,0.00104322
74,3006.51,1.22367,0.73221,1.19623,0.99054,0.90294,0.95852,0.66099,1.08814,0.59486,1.27634,0.00102993,0.00102993,0.00102993
75,3051.05,1.30128,0.78693,1.24706,0.97918,0.88793,0.94453,0.62624,1.23743,0.64784,1.33422,0.00101664,0.00101664,0.00101664
76,3095.25,1.33461,0.80618,1.2614,0.9906,0.90875,0.96165,0.67027,1.16796,0.61183,1.29964,0.00100336,0.00100336,0.00100336
77,3139.19,1.32868,0.80785,1.25091,0.99757,0.91379,0.96495,0.66334,1.12167,0.61297,1.2875,0.000990067,0.000990067,0.000990067
78,3183.95,1.25878,0.79213,1.24078,0.99712,0.90517,0.96246,0.65514,1.12749,0.6085,1.29181,0.000976779,0.000976779,0.000976779
79,3228.59,1.2613,0.80595,1.25057,0.95524,0.91996,0.95194,0.67066,1.15619,0.58783,1.30326,0.00096349,0.00096349,0.00096349
80,3272.53,1.26354,0.75202,1.22116,1,0.90493,0.96416,0.67766,1.10354,0.58288,1.26101,0.000950201,0.000950201,0.000950201
81,3316.63,1.23394,0.75264,1.24228,0.97235,0.93966,0.97049,0.70515,0.99988,0.58049,1.22618,0.000936913,0.000936913,0.000936913
82,3360.86,1.21529,0.77623,1.22866,1,0.9179,0.97092,0.69348,1.09024,0.61253,1.31056,0.000923624,0.000923624,0.000923624
83,3405.29,1.20228,0.72302,1.21792,0.99068,0.91589,0.96546,0.69217,1.06308,0.57745,1.28743,0.000910336,0.000910336,0.000910336
84,3449.84,1.18151,0.75158,1.23039,0.97221,0.90479,0.96438,0.67979,1.05385,0.57818,1.24441,0.000897047,0.000897047,0.000897047
85,3494.11,1.2211,0.75866,1.22133,0.95919,0.93103,0.9634,0.67539,1.13271,0.59463,1.29393,0.000883758,0.000883758,0.000883758
86,3538.83,1.15994,0.74637,1.21006,0.9867,0.92241,0.96413,0.66665,1.11227,0.60877,1.26417,0.00087047,0.00087047,0.00087047
87,3584.24,1.12999,0.6928,1.17581,0.97806,0.93103,0.96447,0.69029,1.0722,0.58818,1.22171,0.000857181,0.000857181,0.000857181
88,3627.97,1.21653,0.72015,1.19816,0.96477,0.93966,0.96512,0.6857,1.09957,0.59467,1.23665,0.000843893,0.000843893,0.000843893
89,3672.01,1.18695,0.72865,1.20278,0.9899,0.92241,0.9705,0.71738,0.97581,0.56996,1.19917,0.000830604,0.000830604,0.000830604
90,3716.41,1.18218,0.73908,1.20567,1,0.91372,0.96882,0.70409,1.04008,0.57668,1.24982,0.000817315,0.000817315,0.000817315
91,4910.21,1.15325,0.73156,1.18877,0.98615,0.92241,0.96808,0.71442,1.0923,0.56731,1.27008,0.000804027,0.000804027,0.000804027
92,4955.15,1.17026,0.71941,1.19197,1,0.90515,0.97011,0.72419,1.03458,0.55104,1.23445,0.000790738,0.000790738,0.000790738
93,5000.05,1.16553,0.71521,1.18822,0.96815,0.91379,0.96696,0.72558,0.97195,0.54493,1.20504,0.00077745,0.00077745,0.00077745
94,5044.91,1.17379,0.69213,1.19634,0.98241,0.92241,0.96975,0.70976,1.04053,0.56434,1.23365,0.000764161,0.000764161,0.000764161
